city	code	votes_r1	votes_r2	le_pen_r2	macron_r2	le_pen_r1	macron_r1	melenchon_r1	zemmour_r1	pecresse_r1	roussel_r1	jadot_r1	lassalle_r1	dupont-aignan_r1	hidalgo_r1	poutou_r1	arthaud_r1
Bettrechies	59077	145	139	0.59	0.41	0.36	0.22	0.14	0.06	0.06	0.05	0.03	0.08	0.01	0.01	0	0
Beugnies	59078	347	320	0.57	0.43	0.36	0.27	0.14	0.05	0.03	0.04	0.03	0.02	0.01	0.01	0	0.02
Beuvrages	59079	3055	2867	0.6	0.4	0.38	0.18	0.27	0.04	0.01	0.08	0.01	0.01	0.01	0.01	0	0.01
Beuvry-la-Forêt	59080	1735	1657	0.47	0.53	0.31	0.29	0.16	0.05	0.04	0.05	0.04	0.02	0.02	0.02	0	0
Bierne	59082	1087	1090	0.53	0.47	0.35	0.28	0.15	0.07	0.04	0.02	0.03	0.02	0.02	0.02	0.01	0.01
Bissezeele	59083	163	153	0.53	0.47	0.28	0.25	0.15	0.1	0.09	0.01	0.02	0.04	0.05	0.01	0.01	0.01
Blaringhem	59084	1236	1218	0.58	0.42	0.38	0.28	0.12	0.05	0.03	0.03	0.02	0.04	0.02	0.02	0.01	0.01
Blécourt	59085	234	234	0.54	0.46	0.36	0.35	0.1	0.05	0.03	0	0.02	0.03	0.03	0.01	0	0.01
Boeschepe	59086	1295	1240	0.5	0.5	0.33	0.25	0.15	0.05	0.04	0.04	0.05	0.03	0.02	0.03	0.01	0.01
Bois-Grenier	59088	1081	1075	0.3	0.7	0.19	0.43	0.1	0.08	0.08	0.02	0.05	0.02	0.01	0.02	0.01	0.01
Bollezeele	59089	787	792	0.54	0.46	0.37	0.28	0.11	0.06	0.07	0.03	0.02	0.02	0.02	0	0.01	0.01
Bondues	59090	6457	6372	0.23	0.77	0.12	0.51	0.07	0.1	0.11	0.01	0.05	0.01	0.02	0.01	0	0
Borre	59091	362	351	0.41	0.59	0.27	0.34	0.15	0.07	0.04	0.02	0.01	0.04	0.02	0.01	0.01	0
Bouchain	59092	2283	2128	0.67	0.33	0.47	0.18	0.15	0.06	0.03	0.06	0.01	0.01	0.01	0.01	0	0
Boulogne-sur-Helpe	59093	187	180	0.49	0.51	0.34	0.38	0.12	0.03	0.04	0.03	0.01	0.02	0.03	0	0	0.01
Bourbourg	59094	3406	3396	0.63	0.37	0.44	0.23	0.13	0.05	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01
Bourghelles	59096	1048	1050	0.32	0.68	0.2	0.39	0.14	0.07	0.06	0.01	0.05	0.02	0.02	0.02	0.01	0.01
Boursies	59097	209	209	0.68	0.32	0.44	0.15	0.13	0.12	0.06	0.02	0.01	0.02	0.02	0	0	0.01
Bousbecque	59098	2737	2642	0.43	0.57	0.26	0.36	0.14	0.07	0.05	0.02	0.05	0.02	0.01	0.01	0	0.01
Bousies	59099	930	875	0.62	0.38	0.39	0.22	0.16	0.06	0.03	0.05	0.01	0.03	0.02	0.03	0.01	0.01
Bousignies	59100	209	226	0.4	0.6	0.25	0.31	0.14	0.09	0.05	0.07	0.05	0.02	0	0	0	0
Bousignies-sur-Roc	59101	145	154	0.64	0.36	0.34	0.19	0.12	0.11	0.04	0.03	0.03	0.02	0.06	0	0.04	0.01
Boussières-en-Cambrésis	59102	250	241	0.62	0.38	0.36	0.29	0.09	0.07	0.06	0.04	0.01	0.02	0.03	0.01	0.01	0
Boussières-sur-Sambre	59103	279	266	0.6	0.4	0.41	0.26	0.12	0.05	0.05	0.02	0.01	0.02	0.01	0.01	0.01	0.03
Boussois	59104	1529	1406	0.66	0.34	0.46	0.17	0.2	0.04	0.01	0.06	0.02	0.01	0.02	0.01	0.01	0.01
Bouvignies	59105	976	938	0.4	0.6	0.26	0.32	0.15	0.06	0.05	0.03	0.06	0.03	0.02	0.01	0.01	0
Bouvines	59106	498	476	0.25	0.75	0.13	0.45	0.2	0.05	0.05	0.02	0.05	0.02	0.01	0.01	0	0
Boëseghem	59087	465	460	0.55	0.45	0.38	0.29	0.13	0.04	0.03	0.04	0.03	0.02	0.02	0.01	0.02	0.01
Bray-Dunes	59107	2654	2617	0.56	0.44	0.36	0.27	0.14	0.06	0.04	0.03	0.02	0.03	0.02	0.02	0.01	0.01
Briastre	59108	409	381	0.66	0.34	0.42	0.2	0.21	0.05	0.02	0.03	0	0.02	0.02	0.01	0.01	0
Brillon	59109	478	472	0.38	0.62	0.24	0.29	0.13	0.07	0.07	0.07	0.07	0.01	0.02	0.01	0.01	0
Brouckerque	59110	883	881	0.53	0.47	0.34	0.28	0.13	0.06	0.04	0.02	0.04	0.03	0.03	0.01	0.01	0
Broxeele	59111	233	226	0.56	0.44	0.42	0.22	0.15	0.01	0.06	0.04	0.01	0.03	0.01	0.02	0	0.01
Bruay-sur-l'Escaut	59112	5471	5326	0.69	0.31	0.47	0.16	0.19	0.05	0.01	0.06	0.01	0.01	0.01	0.01	0.01	0.01
Bruille-Saint-Amand	59114	922	872	0.57	0.43	0.35	0.2	0.12	0.08	0.02	0.16	0.02	0.01	0.02	0.01	0	0
Bruille-lez-Marchiennes	59113	755	674	0.65	0.35	0.38	0.14	0.13	0.05	0.02	0.2	0.01	0.02	0.02	0.02	0.01	0.01
Brunémont	59115	394	390	0.71	0.29	0.48	0.18	0.13	0.06	0.02	0.04	0.01	0.04	0.02	0.01	0.01	0.01
Bry	59116	245	223	0.4	0.6	0.24	0.36	0.13	0.07	0.03	0.04	0.02	0.02	0.03	0.02	0.01	0.01
Bugnicourt	59117	638	625	0.62	0.38	0.43	0.23	0.13	0.04	0.02	0.03	0.03	0.03	0.02	0.02	0.01	0
Busigny	59118	1283	1298	0.67	0.33	0.5	0.2	0.1	0.07	0.03	0.03	0.02	0.02	0.01	0.01	0.01	0.01
Buysscheure	59119	344	334	0.54	0.46	0.33	0.27	0.18	0.04	0.05	0.03	0.03	0.02	0.01	0.01	0.02	0
Bérelles	59066	90	88	0.82	0.18	0.42	0.17	0.08	0.19	0	0.03	0	0.06	0.03	0	0.01	0.01
Béthencourt	59075	422	423	0.68	0.32	0.45	0.2	0.11	0.06	0.03	0.03	0.02	0.02	0.05	0	0.01	0
Bévillers	59081	326	315	0.64	0.36	0.45	0.21	0.17	0.06	0.02	0.04	0.01	0.02	0.02	0.01	0	0.01
Cagnoncles	59121	387	378	0.62	0.38	0.43	0.22	0.14	0.09	0.02	0.02	0.03	0.02	0.01	0.02	0	0.01
Cambrai	59122	14455	13892	0.53	0.47	0.33	0.27	0.17	0.07	0.04	0.02	0.03	0.02	0.02	0.02	0.01	0.01
Camphin-en-Carembault	59123	1093	1037	0.42	0.58	0.27	0.34	0.15	0.05	0.05	0.02	0.05	0.02	0.02	0.01	0	0
Camphin-en-Pévèle	59124	1451	1414	0.34	0.66	0.21	0.41	0.13	0.08	0.05	0.02	0.06	0.02	0.02	0.01	0	0
Cantaing-sur-Escaut	59125	240	230	0.57	0.43	0.43	0.27	0.07	0.06	0.07	0.03	0.03	0.02	0	0.02	0	0
Cantin	59126	947	908	0.6	0.4	0.42	0.25	0.13	0.05	0.03	0.03	0.03	0.02	0.01	0.02	0.01	0
Capelle	59127	103	98	0.48	0.52	0.26	0.27	0.17	0.05	0.05	0.05	0.03	0.02	0.05	0.06	0	0
Capinghem	59128	1317	1283	0.34	0.66	0.2	0.38	0.16	0.07	0.05	0.02	0.06	0.02	0.02	0.01	0	0.01
Cappelle-Brouck	59130	696	678	0.61	0.39	0.35	0.25	0.14	0.07	0.04	0.04	0.01	0.03	0.03	0.01	0.02	0.01
Cappelle-en-Pévèle	59129	1382	1321	0.37	0.63	0.24	0.36	0.13	0.05	0.04	0.03	0.06	0.02	0.02	0.02	0.01	0.01
Cappelle-la-Grande	59131	4615	4383	0.65	0.35	0.43	0.2	0.18	0.05	0.01	0.04	0.02	0.02	0.02	0.02	0.01	0.01
Carnin	59133	700	690	0.44	0.56	0.31	0.34	0.13	0.06	0.03	0.01	0.06	0.02	0.02	0.02	0.01	0.01
Carnières	59132	590	598	0.69	0.31	0.49	0.19	0.13	0.06	0.04	0.02	0.02	0.02	0.01	0.02	0	0.01
Cartignies	59134	639	626	0.61	0.39	0.39	0.24	0.1	0.08	0.06	0.02	0.02	0.03	0.03	0.01	0.01	0.01
Cassel	59135	1264	1200	0.43	0.57	0.23	0.31	0.19	0.08	0.05	0.02	0.04	0.03	0.02	0.02	0.01	0.01
Catillon-sur-Sambre	59137	450	444	0.64	0.36	0.38	0.22	0.16	0.05	0.05	0.04	0.01	0.02	0.04	0.01	0.01	0.01
Cattenières	59138	396	372	0.66	0.34	0.45	0.17	0.13	0.07	0.03	0.03	0.02	0.01	0.04	0.02	0.01	0.02
Caudry	59139	6326	6196	0.65	0.35	0.43	0.2	0.17	0.05	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01
Caullery	59140	268	268	0.72	0.28	0.52	0.19	0.1	0.05	0.01	0	0.03	0.04	0.02	0.01	0.02	0.01
Cauroir	59141	354	325	0.56	0.44	0.33	0.27	0.12	0.07	0.05	0.03	0.02	0.02	0.03	0.03	0.01	0.01
Caëstre	59120	1168	1131	0.45	0.55	0.32	0.32	0.12	0.05	0.06	0.02	0.03	0.03	0.02	0.02	0.01	0.01
Cerfontaine	59142	376	380	0.6	0.4	0.44	0.24	0.12	0.07	0.05	0.03	0.02	0.01	0.02	0.01	0.01	0
Chemy	59145	522	479	0.39	0.61	0.21	0.37	0.18	0.07	0.04	0.02	0.05	0.01	0.03	0.02	0	0
Choisies	59147	38	39	0.49	0.51	0.29	0.29	0.11	0.11	0.08	0	0	0.08	0.05	0	0	0
Château-l'Abbaye	59144	511	476	0.48	0.52	0.29	0.25	0.09	0.07	0.04	0.18	0.04	0.03	0.01	0.01	0.01	0
Chéreng	59146	2063	1921	0.28	0.72	0.17	0.42	0.16	0.06	0.05	0.02	0.06	0.01	0.02	0.02	0.01	0
Clairfayts	59148	162	150	0.65	0.35	0.44	0.16	0.14	0.05	0.07	0.02	0.04	0.02	0.02	0.01	0	0.01
Clary	59149	618	623	0.65	0.35	0.45	0.22	0.12	0.07	0.02	0.01	0.03	0.02	0.02	0	0	0.01
Cobrieux	59150	380	371	0.26	0.74	0.18	0.42	0.08	0.07	0.03	0.03	0.12	0.03	0.02	0.01	0	0
Colleret	59151	834	807	0.64	0.36	0.46	0.21	0.11	0.08	0.03	0.02	0.02	0.03	0.02	0.01	0.01	0
Comines	59152	6413	6194	0.5	0.5	0.32	0.28	0.18	0.06	0.04	0.02	0.04	0.02	0.02	0.01	0.01	0
Condé-sur-l'Escaut	59153	3609	3366	0.6	0.4	0.36	0.17	0.28	0.06	0.02	0.05	0.01	0.01	0.01	0.01	0	0
Coudekerque-Branche	59155	11093	10577	0.57	0.43	0.37	0.23	0.19	0.05	0.02	0.03	0.03	0.02	0.02	0.02	0.01	0.01
Courchelettes	59156	1587	1512	0.62	0.38	0.42	0.21	0.16	0.06	0.03	0.04	0.02	0.01	0.01	0.01	0	0.01
Cousolre	59157	1002	959	0.61	0.39	0.42	0.22	0.13	0.08	0.05	0.02	0.01	0.02	0.03	0.01	0	0.01
Coutiches	59158	1967	1890	0.46	0.54	0.28	0.32	0.15	0.06	0.04	0.02	0.04	0.03	0.03	0.01	0	0
Craywick	59159	410	399	0.66	0.34	0.45	0.2	0.16	0.06	0.03	0.02	0.01	0.01	0.02	0.02	0.01	0.01
Crespin	59160	1907	1853	0.64	0.36	0.42	0.19	0.21	0.07	0.01	0.04	0.02	0.01	0.02	0.01	0.01	0
Crochte	59162	414	402	0.45	0.55	0.26	0.31	0.13	0.07	0.08	0.02	0.04	0.03	0.03	0.02	0.01	0
Croix	59163	10183	9537	0.31	0.69	0.17	0.33	0.25	0.07	0.05	0.02	0.06	0.01	0.02	0.01	0	0
Croix-Caluyau	59164	152	155	0.54	0.46	0.41	0.26	0.16	0.05	0.03	0.01	0.03	0.05	0.01	0	0	0
Crèvecoeur-sur-l'Escaut	59161	417	400	0.6	0.4	0.37	0.24	0.14	0.07	0.07	0.02	0.03	0.03	0.02	0.01	0	0.01
Cuincy	59165	3663	3416	0.48	0.52	0.3	0.25	0.24	0.06	0.03	0.03	0.03	0.02	0.02	0.02	0	0
Curgies	59166	806	783	0.43	0.57	0.29	0.33	0.14	0.08	0.03	0.04	0.03	0.02	0.02	0.01	0	0
Cuvillers	59167	117	120	0.54	0.46	0.36	0.26	0.09	0.09	0.12	0.02	0	0.02	0.03	0.01	0.01	0.01
Cysoing	59168	3013	2895	0.35	0.65	0.2	0.37	0.15	0.08	0.06	0.03	0.06	0.02	0.01	0.02	0.01	0.01
Damousies	59169	123	122	0.55	0.45	0.39	0.3	0.06	0.08	0.07	0.04	0	0.04	0.02	0	0	0
Dechy	59170	2459	2255	0.65	0.35	0.43	0.15	0.24	0.04	0.01	0.05	0.02	0.01	0.01	0.02	0.01	0
Dehéries	59171	29	29	0.41	0.59	0.31	0.52	0.03	0.03	0	0.03	0	0.07	0	0	0	0
Denain	59172	7132	6704	0.61	0.39	0.42	0.15	0.29	0.04	0.01	0.04	0.01	0.01	0.01	0.01	0.01	0.01
Deûlémont	59173	1122	1076	0.44	0.56	0.27	0.36	0.13	0.06	0.05	0.02	0.03	0.02	0.03	0.01	0.01	0.01
Dimechaux	59174	182	185	0.54	0.46	0.35	0.27	0.09	0.08	0.06	0.02	0.07	0.04	0.02	0	0	0
Dimont	59175	190	181	0.48	0.52	0.26	0.34	0.13	0.06	0.08	0.03	0.03	0.03	0.03	0.01	0	0.01
Doignies	59176	225	228	0.69	0.31	0.47	0.23	0.08	0.06	0.03	0.03	0.02	0.03	0.03	0.01	0.01	0.01
Dompierre-sur-Helpe	59177	462	445	0.6	0.4	0.38	0.23	0.15	0.05	0.05	0.03	0.01	0.03	0.02	0.01	0.01	0.02
Don	59670	827	792	0.45	0.55	0.29	0.3	0.17	0.06	0.03	0.03	0.05	0.01	0.02	0.02	0.01	0.01
Douai	59178	16947	15509	0.47	0.53	0.28	0.24	0.27	0.06	0.03	0.03	0.04	0.01	0.01	0.02	0.01	0.01
Douchy-les-Mines	59179	4726	4481	0.65	0.35	0.45	0.13	0.24	0.04	0.01	0.07	0.02	0.01	0.01	0.01	0.01	0.01
Dourlers	59181	321	307	0.52	0.48	0.34	0.29	0.08	0.09	0.06	0.03	0.02	0.03	0.04	0.01	0	0
Drincham	59182	158	140	0.54	0.46	0.32	0.22	0.22	0.02	0.05	0.03	0.04	0.05	0.02	0.03	0	0.01
Dunkerque	59183	41767	39760	0.49	0.51	0.3	0.27	0.22	0.06	0.03	0.03	0.03	0.02	0.02	0.02	0.01	0.01
Ebblinghem	59184	375	356	0.6	0.4	0.38	0.25	0.14	0.06	0.02	0.02	0.02	0.04	0.03	0.01	0.01	0.01
Ecaillon	59185	977	949	0.64	0.36	0.44	0.2	0.19	0.04	0.01	0.04	0.02	0.02	0.02	0.01	0	0
Eccles	59186	49	47	0.57	0.43	0.27	0.16	0.12	0.1	0.1	0.06	0.02	0.1	0.06	0	0	0
Eclaibes	59187	186	181	0.51	0.49	0.31	0.32	0.1	0.08	0.05	0.03	0.02	0.02	0.05	0	0.01	0.01
Ecuélin	59188	72	80	0.68	0.32	0.49	0.18	0.07	0.11	0.01	0.04	0	0.06	0.03	0	0.01	0
Eecke	59189	761	742	0.49	0.51	0.3	0.28	0.16	0.06	0.06	0.01	0.04	0.04	0.03	0.01	0	0
Elesmes	59190	583	565	0.56	0.44	0.37	0.25	0.13	0.08	0.04	0.02	0.03	0.02	0.01	0.01	0.01	0.01
Elincourt	59191	344	353	0.73	0.27	0.52	0.21	0.1	0.06	0.01	0.01	0.01	0.03	0.03	0.01	0.01	0
Emerchicourt	59192	509	478	0.7	0.3	0.42	0.13	0.16	0.06	0.02	0.14	0.01	0.02	0.02	0.01	0	0.01
Emmerin	59193	1882	1713	0.37	0.63	0.21	0.34	0.21	0.06	0.04	0.02	0.06	0.02	0.01	0.01	0	0.01
Englefontaine	59194	731	689	0.58	0.42	0.38	0.23	0.15	0.07	0.03	0.05	0.03	0.02	0.02	0.01	0.01	0
Englos	59195	387	376	0.35	0.65	0.18	0.43	0.14	0.1	0.06	0.01	0.03	0.01	0.02	0.02	0	0
Ennetières-en-Weppes	59196	853	822	0.29	0.71	0.16	0.43	0.11	0.09	0.07	0.02	0.05	0.03	0.03	0.01	0	0
Ennevelin	59197	1510	1489	0.33	0.67	0.22	0.36	0.15	0.07	0.05	0.02	0.06	0.03	0.02	0.01	0.01	0
Eppe-Sauvage	59198	98	86	0.48	0.52	0.29	0.19	0.21	0.07	0.07	0.02	0.05	0.01	0.02	0.05	0.01	0
Erchin	59199	435	419	0.5	0.5	0.29	0.32	0.14	0.07	0.06	0.03	0.03	0.03	0.02	0	0.01	0
Eringhem	59200	292	296	0.65	0.35	0.42	0.21	0.12	0.05	0.05	0.02	0.01	0.06	0.03	0.01	0	0
Erquinghem-Lys	59202	2889	2805	0.47	0.53	0.3	0.31	0.16	0.06	0.03	0.03	0.04	0.02	0.02	0.01	0.01	0.01
Erquinghem-le-Sec	59201	380	369	0.33	0.67	0.18	0.41	0.13	0.09	0.07	0.02	0.07	0.01	0.01	0.01	0.01	0.01
Erre	59203	895	842	0.66	0.34	0.41	0.19	0.16	0.08	0.02	0.05	0.03	0.02	0.02	0.01	0.01	0
Escarmain	59204	309	292	0.63	0.37	0.39	0.19	0.17	0.08	0.06	0.02	0.02	0.03	0.02	0.01	0	0
Escaudain	59205	3984	3770	0.67	0.33	0.46	0.14	0.21	0.04	0.01	0.07	0.01	0.01	0.01	0.01	0.01	0.01
Escaudoeuvres	59206	1637	1551	0.61	0.39	0.37	0.24	0.16	0.06	0.02	0.05	0.02	0.02	0.02	0.01	0.01	0.01
Escautpont	59207	2152	2036	0.7	0.3	0.46	0.16	0.16	0.05	0.01	0.12	0.01	0.01	0.01	0	0	0.01
Escobecques	59208	230	224	0.32	0.68	0.18	0.44	0.1	0.06	0.1	0.02	0.06	0.02	0.02	0.01	0	0
